pseudonym,Name,url,action/practices,Type,practices try to impact directly...,active across one...,name of place,part of group / network / ...,public contact,notes
03056892354,,,,,,,,,,
08763376107,,,,,,,,,,
07835945658,,,,,,,,,,
01058286963,,,,,,,,,,
06410812904,,,,,,,,,,
05124361083,,,,,,,,,,
09688763549,,,,,,,,,,
06317883802,,,,,,,,,,
07175396111,,,,,,,,,,
06496036918,,,,,,,,,,
05090564185,,,,,,,,,,
044982476,,,,,,,,,,
0117531931,,,,,,,,,,
07884084856,,,,,,,,,,
05382852091,,,,,,,,,,
002049221188,,,,,,,,,,
002504718388,,,,,,,,,,
079399957,,,,,,,,,,
04063835058,,,,,,,,,,
03452091555,,,,,,,,,,
08528933435,,,,,,,,,,
008221435105,,,,,,,,,,
05923175045,,,,,,,,,,
08144923539,,,,,,,,,,
07246751826,,,,,,,,,,
05280492134,,,,,,,,,,
07163264225,,,,,,,,,,
09660089244,,,,,,,,,,
0620931059,,,,,,,,,,
03573886011,,,,,,,,,,
09352797175,,,,,,,,,,
05485948216,,,,,,,,,,
09256648366,,,,,,,,,,
009245747686,,,,,,,,,,
05107224697,,,,,,,,,,
08010835164,,,,,,,,,,
04425179178,,,,,,,,,,
008728224409,,,,,,,,,,
0750201516,,,,,,,,,,
05237344633,,,,,,,,,,
06890828495,,,,,,,,,,
03115164246,,,,,,,,,,
08398468731,,,,,,,,,,
03452458657,,,,,,,,,,
04233693193,,,,,,,,,,
08193066396,,,,,,,,,,
03098162015,,,,,,,,,,
05697816587,,,,,,,,,,
09081896146,,,,,,,,,,
07744454258,,,,,,,,,,
0004092793223,,,,,,,,,,
01261379326,,,,,,,,,,
03772397712,,,,,,,,,,
09938775572,,,,,,,,,,
04622603872,,,,,,,,,,
04351194167,,,,,,,,,,
05309094684,,,,,,,,,,
07186967349,,,,,,,,,,
05632609142,,,,,,,,,,
04613918286,,,,,,,,,,
06603621596,,,,,,,,,,
0725090051,,,,,,,,,,
01297740895,,,,,,,,,,
08225213811,,,,,,,,,,
0175184348,,,,,,,,,,
09472576606,,,,,,,,,,
09467404283,,,,,,,,,,
05906078063,,,,,,,,,,
08929109995,,,,,,,,,,
05001556579,,,,,,,,,,
0308682633,,,,,,,,,,
03408626982,,,,,,,,,,
04379918422,,,,,,,,,,
03619804599,,,,,,,,,,
07778621353,,,,,,,,,,
007668050726,,,,,,,,,,
04932707646,,,,,,,,,,
0004632926563,,,,,,,,,,
03089415376,,,,,,,,,,
08921943218,,,,,,,,,,
04488091582,,,,,,,,,,
0944971457,,,,,,,,,,
02757053917,,,,,,,,,,
06210044752,,,,,,,,,,
02008907139,,,,,,,,,,
05304827745,,,,,,,,,,
0221525619,,,,,,,,,,
02637126739,,,,,,,,,,
04683041668,,,,,,,,,,
0270070353,,,,,,,,,,
03476396969,,,,,,,,,,
06870904377,,,,,,,,,,
001350739576,,,,,,,,,,
06739797337,,,,,,,,,,
08519435367,,,,,,,,,,
0944155227,,,,,,,,,,
05830345906,,,,,,,,,,
08764512761,,,,,,,,,,
02358825983,,,,,,,,,,
05771233574,,,,,,,,,,
02145159852,,,,,,,,,,
02805104125,,,,,,,,,,
06081591917,,,,,,,,,,
04341539353,,,,,,,,,,
07969369556,,,,,,,,,,
008637645776,,,,,,,,,,
08313547846,,,,,,,,,,
08559937035,,,,,,,,,,
04162719716,,,,,,,,,,
